Stroke (#),Second (#),Distance (m),Work (J),Actual power (W),Average power (W),Actual split (s),Average split (s),Stroke rate (SPM),Heart rate (bpm)
464,1442,4372,264.8,95,91.1,154,156,20.8,126
465,1445,4381,270.6,94,91.1,154,156,21.2,126
466,1448,4391,243.0,92,91.1,156,156,20.4,126
467,1450,4400,262.0,85,91.1,160,156,20.9,126
468,1454,4410,263.8,91,91.1,156,156,20.7,126
469,1456,4417,240.2,92,91.1,156,156,20.8,127
470,1459,4426,245.6,84,91.0,160,156,20.9,126
471,1462,4435,249.1,87,91.0,159,156,21.2,127
472,1465,4444,243.3,86,91.0,159,156,20.6,127
473,1468,4454,292.9,88,91.0,158,156,21.8,127
474,1471,4464,271.8,103,91.0,150,156,21.0,126
475,1474,4473,261.7,93,91.0,155,156,20.4,126
476,1477,4483,254.2,90,91.0,157,156,20.5,127
477,1479,4490,273.7,91,91.0,156,156,21.4,127
478,1481,4499,252.0,93,91.0,155,156,20.4,127
479,1485,4509,258.0,88,91.0,158,156,21.0,126
480,1488,4518,262.7,91,91.0,156,156,21.1,127
481,1491,4528,310.5,93,91.0,155,156,21.1,126
482,1494,4538,262.8,106,91.1,148,156,20.4,126
483,1497,4547,263.3,91,91.1,156,156,20.6,127
484,1500,4557,260.1,90,91.1,157,156,20.5,127
485,1503,4566,273.1,89,91.1,157,156,20.6,127
486,1506,4576,269.2,91,91.1,156,156,20.0,126
487,1508,4583,244.6,92,91.1,156,156,20.4,127
488,1511,4592,260.7,85,91.1,160,156,20.8,128
489,1514,4602,253.4,90,91.1,157,156,20.7,127
490,1517,4611,289.4,91,91.1,156,156,21.6,127
491,1520,4621,258.0,102,91.1,150,156,21.1,127
492,1523,4630,266.1,91,91.1,156,156,21.2,127
493,1525,4638,282.5,96,91.1,153,156,21.7,118
494,1577,4657,273.0,100,90.9,151,156,21.2,109
495,1620,4672,35.6,100,90.5,151,157,21.2,101
496,1623,4680,182.2,100,90.4,151,157,21.2,100
497,1626,4689,198.7,64,90.3,176,157,20.9,102
498,1629,4698,242.7,69,90.3,171,157,20.6,103
